Podaj główne kryterium
Podaj dane w formacie a, b\n
50,	1,	23
40,	1,	42
26,	4,	37
13,	5,	44
35,	5,	48
23,	5,	33
29,	6,	18
21,	7,	40
1,	8,	16
17,	8,	6
18,	9,	2
48,	9,	47
48,	10,	11
49,	10,	38
46,	11,	19
42,	13,	32
41,	14,	28
22,	15,	45
40,	16,	12
37,	17,	33
50,	18,	2
7,	19,	14
46,	20,	35
28,	20,	23
16,	21,	24
39,	22,	33
36,	24,	21
38,	25,	3
11,	25,	12
34,	26,	13
43,	27,	4
32,	27,	35
8,	28,	31
27,	29,	6
47,	30,	42
3,	30,	15
37,	30,	10
3,	31,	4
41,	34,	26
44,	36,	7
9,	39,	41
15,	39,	12
20,	43,	34
14,	44,	50
31,	45,	24
25,	45,	38
43,	46,	17
19,	47,	36
32,	49,	2
22,	49,	29
