1
13, 5, 44
7, 19, 14
48, 10, 11
43, 27, 4
32, 49, 2
8, 28, 31
9, 39, 41
47, 30, 42
22, 15, 45
29, 6, 18
36, 24, 21
40, 16, 12
50, 1, 23
38, 25, 3
34, 26, 13
46, 20, 35
37, 17, 33
49, 10, 38
35, 5, 48
21, 7, 40
28, 20, 23
1, 8, 16
19, 47, 36
43, 46, 17
39, 22, 33
18, 9, 2
42, 13, 32
14, 44, 50
11, 25, 12
31, 45, 24
26, 4, 37
3, 30, 15
27, 29, 6
41, 34, 26
3, 31, 4
16, 21, 24
23, 5, 33
50, 18, 2
25, 45, 38
44, 36, 7
22, 49, 29
20, 43, 34
40, 1, 42
17, 8, 6
15, 39, 12
46, 11, 19
48, 9, 47
37, 30, 10
32, 27, 35
41, 14, 28
