Podaj główne kryterium
Podaj dane w formacie a, b\n
1,	8,	16
3,	30,	15
3,	31,	4
7,	19,	14
8,	28,	31
9,	39,	41
11,	25,	12
13,	5,	44
14,	44,	50
15,	39,	12
16,	21,	24
17,	8,	6
18,	9,	2
19,	47,	36
20,	43,	34
21,	7,	40
22,	15,	45
22,	49,	29
23,	5,	33
25,	45,	38
26,	4,	37
27,	29,	6
28,	20,	23
29,	6,	18
31,	45,	24
32,	49,	2
32,	27,	35
34,	26,	13
35,	5,	48
36,	24,	21
37,	17,	33
37,	30,	10
38,	25,	3
39,	22,	33
40,	16,	12
40,	1,	42
41,	34,	26
41,	14,	28
42,	13,	32
43,	27,	4
43,	46,	17
44,	36,	7
46,	20,	35
46,	11,	19
47,	30,	42
48,	10,	11
48,	9,	47
49,	10,	38
50,	1,	23
50,	18,	2
